Workload|iterations|run-time|cpu-cycles|instructions|ref-cycles|page-faults|branches|branch-misses|LLC-load-misses|L1-dcache-load-misses|cache-misses
adpcm | 460 | 0.154014807 | 644467841 | 733714655 | 384234552 | 2171067 | 132912011 | 2692936 | 58613 | 12200805 | 2171067
adpcm | 470 | 0.159786936 | 656119427 | 754834709 | 390290992 | 2168627 | 136528463 | 2690694 | 59843 | 12448410 | 2168627
adpcm | 480 | 0.167358102 | 696878064 | 770775836 | 416173368 | 3385688 | 139556322 | 2653194 | 135065 | 12826949 | 3385688
adpcm | 490 | 0.164014777 | 686081029 | 784061751 | 408729984 | 2505734 | 142025722 | 2779304 | 74641 | 13003146 | 2505734
adpcm | 500 | 0.166805648 | 696477133 | 796439300 | 413755576 | 2211143 | 143999318 | 2808742 | 55617 | 13416126 | 2211143
aes | 10 | 0.004907793 | 17878029 | 17928019 | 10651160 | 104881 | 3373327 | 104788 | 6120 | 294907 | 104881
aes | 20 | 0.008803323 | 33994444 | 32847024 | 20828912 | 262404 | 6151873 | 170156 | 13795 | 597308 | 262404
aes | 30 | 0.013239077 | 49988402 | 48796615 | 32394336 | 372254 | 9143017 | 242920 | 19836 | 870199 | 372254
aes | 40 | 0.016602396 | 65404881 | 63775677 | 41370680 | 461430 | 11933713 | 339835 | 24550 | 1160798 | 461430
aes | 50 | 0.022887142 | 86843307 | 79009807 | 56307056 | 605964 | 14788486 | 371682 | 33784 | 1473364 | 605964
aes | 60 | 0.021611568 | 86512182 | 94507833 | 51924704 | 358162 | 17615672 | 444748 | 11208 | 1630337 | 358162
aes | 70 | 0.025234606 | 102872310 | 110746631 | 60807240 | 423425 | 20665463 | 504468 | 14033 | 1929894 | 423425
aes | 80 | 0.027559278 | 113383873 | 123244305 | 67494648 | 384647 | 23004515 | 594740 | 11600 | 2138663 | 384647
aes | 90 | 0.031561038 | 129607647 | 139537493 | 76830936 | 532037 | 26076459 | 662923 | 15982 | 2378441 | 532037
aes | 100 | 0.036376825 | 149374922 | 153634268 | 88933104 | 488707 | 28686657 | 696133 | 16374 | 2758425 | 488707
aes | 110 | 0.038032031 | 155703388 | 172831982 | 92574872 | 584034 | 32274459 | 802883 | 15751 | 2944415 | 584034
aes | 120 | 0.042031794 | 171600078 | 187941469 | 102951680 | 688815 | 35121942 | 892509 | 20380 | 3255362 | 688815
aes | 130 | 0.044470457 | 182777594 | 198903044 | 108827160 | 661936 | 37154924 | 949456 | 18436 | 3494030 | 661936
aes | 140 | 0.047550869 | 198414992 | 216001111 | 118641640 | 730343 | 40314955 | 989196 | 19809 | 3760165 | 730343
aes | 150 | 0.052192396 | 215445360 | 232389446 | 128193832 | 707517 | 43393089 | 1031941 | 19665 | 4074564 | 707517
aes | 160 | 0.060771914 | 246705613 | 246436787 | 150592208 | 1387948 | 46028101 | 1140709 | 65868 | 4347688 | 1387948
aes | 170 | 0.05863639 | 243080478 | 262938929 | 144409616 | 947448 | 49039960 | 1180501 | 30433 | 4636992 | 947448
aes | 180 | 0.061361153 | 252636289 | 278259962 | 149243016 | 907885 | 51931132 | 1244397 | 27856 | 4791903 | 907885
