Workload|iterations|run-time|cpu-cycles|instructions|ref-cycles|page-faults|branches|branch-misses|LLC-load-misses|L1-dcache-load-misses|cache-misses
dfdiv | 40 | 0.017145273 | 65951496 | 67073823 | 41426736 | 341272 | 13508002 | 273402 | 15166 | 1136579 | 341272
dfdiv | 50 | 0.018751257 | 74805182 | 81481494 | 45655688 | 266441 | 16443251 | 322894 | 8117 | 1347662 | 266441
dfdiv | 60 | 0.021836207 | 89451510 | 96701632 | 53521624 | 330046 | 19502630 | 372928 | 10091 | 1663485 | 330046
dfdiv | 70 | 0.025589343 | 103907537 | 115117194 | 62750896 | 335774 | 23213484 | 450006 | 9372 | 1934373 | 335774
dfdiv | 80 | 0.028507146 | 118555709 | 128886497 | 70937672 | 391954 | 25982505 | 516172 | 10697 | 2222265 | 391954
dfdiv | 90 | 0.033129176 | 133829041 | 145409203 | 82396600 | 590184 | 29357467 | 569821 | 22058 | 2479697 | 590184
dfdiv | 100 | 0.036218678 | 148617951 | 159092759 | 89387064 | 500141 | 32073667 | 591083 | 13460 | 2785184 | 500141
dfdiv | 110 | 0.040686505 | 163795116 | 175118092 | 100461088 | 685673 | 35322894 | 663329 | 26358 | 3067145 | 685673
dfdiv | 120 | 0.042530842 | 175728595 | 192279824 | 105483768 | 589252 | 38790731 | 809304 | 15665 | 3299524 | 589252
dfdiv | 130 | 0.050455671 | 204414114 | 209557435 | 124873320 | 1219503 | 42276725 | 793264 | 61774 | 3638220 | 1219503
dfdiv | 140 | 0.049840858 | 205540880 | 225667256 | 124229976 | 701392 | 45512184 | 841602 | 19014 | 3883733 | 701392
dfdiv | 150 | 0.053355606 | 221913247 | 242891010 | 133955640 | 737378 | 48940186 | 991853 | 19894 | 4185107 | 737378
dfdiv | 160 | 0.064379126 | 260395359 | 256109092 | 160409392 | 1438395 | 51611778 | 951578 | 76603 | 4578384 | 1438395
dfdiv | 170 | 0.059241735 | 244705975 | 271352897 | 147526288 | 830609 | 54720501 | 1023720 | 22638 | 4650654 | 830609
dfdiv | 180 | 0.065002398 | 266976201 | 287149332 | 162420440 | 1062032 | 57890174 | 1061327 | 31522 | 5013729 | 1062032
dfdiv | 190 | 0.071636485 | 287022043 | 304420348 | 178657544 | 1520170 | 61320441 | 1183856 | 63580 | 5284977 | 1520170
dfdiv | 200 | 0.071875613 | 291158535 | 320914701 | 179898056 | 891222 | 64752537 | 1224422 | 27146 | 5548121 | 891222
dfdiv | 210 | 0.075108412 | 309887474 | 337733155 | 187924880 | 970242 | 68074917 | 1310939 | 26190 | 5846059 | 970242
dfdiv | 220 | 0.079756156 | 323203652 | 357786808 | 199242368 | 1142814 | 72043868 | 1280498 | 30930 | 6114903 | 1142814
dfdiv | 230 | 0.085749435 | 340606395 | 371784600 | 214360432 | 1343390 | 74734749 | 1337445 | 45794 | 6405941 | 1343390
dfdiv | 240 | 0.086046475 | 351312825 | 383283582 | 215653360 | 1150367 | 77160130 | 1428146 | 33352 | 6647641 | 1150367
dfdiv | 250 | 0.090161582 | 372790726 | 401517340 | 226473624 | 1478481 | 80950842 | 1459980 | 45500 | 7040586 | 1478481
dfdiv | 260 | 0.093038903 | 382460466 | 415394157 | 232672648 | 1218951 | 83772555 | 1648857 | 33429 | 7297380 | 1218951
dfdiv | 270 | 0.103730328 | 420303879 | 430367977 | 258535160 | 1897261 | 86779077 | 1584092 | 82196 | 7605549 | 1897261
dfdiv | 280 | 0.100639 | 413412756 | 452181257 | 253155136 | 1354600 | 91029220 | 1645559 | 36271 | 7814212 | 1354600
dfdiv | 290 | 0.110956107 | 443792473 | 458724084 | 275459288 | 2004833 | 92419380 | 1689231 | 78093 | 8182199 | 2004833
dfdiv | 300 | 0.105474404 | 439160942 | 484800996 | 265509712 | 1281402 | 97657172 | 1780254 | 38013 | 8392794 | 1281402
dfdiv | 310 | 0.150198395 | 532426849 | 495542072 | 341721640 | 2952151 | 99789531 | 1799719 | 170615 | 9256286 | 2952151
dfdiv | 320 | 0.114604408 | 464670184 | 518221420 | 288006680 | 1538639 | 104456929 | 1890677 | 38363 | 8852834 | 1538639
dfdiv | 330 | 0.116460292 | 474519016 | 524773572 | 291966064 | 1468580 | 105688737 | 1906029 | 38607 | 9037478 | 1468580
dfdiv | 340 | 0.124069902 | 500626598 | 550702702 | 309950472 | 1768130 | 110937248 | 1991969 | 55197 | 9440441 | 1768130
dfdiv | 350 | 0.126002064 | 518230724 | 562913651 | 316901624 | 1510972 | 113383566 | 2071935 | 44134 | 9855852 | 1510972
dfdiv | 360 | 0.127062961 | 524186020 | 581706828 | 320485880 | 1629435 | 117298115 | 2162115 | 42134 | 10018141 | 1629435
dfdiv | 370 | 0.134887999 | 547952126 | 588503307 | 337352704 | 2031649 | 118466104 | 2137142 | 61485 | 10286589 | 2031649
dfdiv | 380 | 0.134205532 | 551685192 | 607188968 | 337323376 | 1783664 | 122380730 | 2259173 | 45972 | 10595980 | 1783664
dfdiv | 390 | 0.138620317 | 566595216 | 628473312 | 348950160 | 1750353 | 126624132 | 2404210 | 47147 | 10795856 | 1750353
dfdiv | 400 | 0.147875363 | 602776695 | 638817799 | 372009872 | 2613601 | 128764871 | 2490661 | 100804 | 11232059 | 2613601
dfdiv | 410 | 0.161164046 | 644624578 | 659360493 | 401129456 | 3734549 | 133032779 | 2524274 | 195760 | 11422532 | 3734549
dfdiv | 420 | 0.153054937 | 619197962 | 669359499 | 381942600 | 2158934 | 134971391 | 2409873 | 53462 | 11732370 | 2158934
dfdiv | 430 | 0.157586682 | 640486765 | 695179486 | 393857152 | 2140291 | 139826066 | 2526222 | 60045 | 11950560 | 2140291
dfdiv | 440 | 0.155802857 | 634914421 | 712295692 | 391172184 | 2169070 | 143513252 | 2599252 | 60035 | 12101411 | 2169070
dfdiv | 450 | 0.162171596 | 663018743 | 725407700 | 407750096 | 2246762 | 146096620 | 2614161 | 65340 | 12544135 | 2246762
dfdiv | 460 | 0.172357092 | 673620119 | 736616729 | 417509040 | 2372986 | 148449147 | 2630158 | 68796 | 12747991 | 2372986
dfdiv | 470 | 0.171544335 | 693591304 | 753336891 | 429821392 | 2337868 | 151667819 | 2749753 | 61974 | 13191087 | 2337868
dfdiv | 480 | 0.17202859 | 695491145 | 764716502 | 431582216 | 2293328 | 153959922 | 2812336 | 60494 | 13246963 | 2293328
dfdiv | 490 | 0.180364498 | 730988137 | 784062807 | 451453184 | 2837541 | 158141885 | 2933375 | 96634 | 13636274 | 2837541
dfdiv | 500 | 0.184404536 | 732708124 | 805762825 | 451774648 | 2415009 | 162366510 | 2947051 | 67703 | 13831647 | 2415009
dfmul | 10 | 0.00514302 | 18213225 | 18572206 | 10947352 | 119080 | 3722111 | 100987 | 5370 | 313445 | 119080
dfmul | 20 | 0.008878849 | 32564746 | 34093528 | 20890064 | 147110 | 6838834 | 156891 | 7786 | 584444 | 147110
dfmul | 30 | 0.012273872 | 48055964 | 49392388 | 29536000 | 230377 | 9943525 | 195622 | 9474 | 866958 | 230377
dfmul | 40 | 0.015768652 | 62269973 | 64553579 | 38182352 | 241653 | 12984564 | 270997 | 8744 | 1109006 | 241653
dfmul | 50 | 0.01828335 | 74619937 | 79916793 | 44989568 | 294152 | 16089001 | 320398 | 10046 | 1397213 | 294152
dfmul | 60 | 0.022061553 | 88400712 | 98008056 | 53898624 | 321074 | 19733390 | 398730 | 11873 | 1650685 | 321074
dfmul | 70 | 0.025291506 | 101752279 | 112218736 | 62450440 | 333356 | 22576609 | 457982 | 10847 | 1944649 | 333356
dfmul | 80 | 0.029232286 | 118075314 | 128796111 | 72774312 | 458939 | 25932536 | 480646 | 13824 | 2219538 | 458939
dfmul | 90 | 0.032223905 | 131376639 | 142717049 | 80250040 | 482976 | 28735081 | 535888 | 17264 | 2499324 | 482976
dfmul | 100 | 0.036439708 | 147064033 | 159138133 | 89303032 | 543687 | 32049941 | 624928 | 15290 | 2773958 | 543687
dfmul | 110 | 0.039814478 | 163776191 | 176151965 | 99351408 | 572763 | 35462633 | 664958 | 18370 | 3032568 | 572763
dfmul | 120 | 0.043317119 | 175997613 | 191255535 | 107829072 | 635544 | 38499366 | 795068 | 17472 | 3326482 | 635544
dfmul | 130 | 0.048041392 | 192105442 | 208588599 | 117940056 | 692954 | 41996057 | 800605 | 19256 | 3589977 | 692954
dfmul | 140 | 0.050312284 | 203999041 | 220651251 | 125241896 | 699353 | 44428860 | 866932 | 17941 | 3919801 | 699353
dfmul | 150 | 0.054806829 | 217036516 | 237024695 | 135427032 | 797223 | 47685205 | 954320 | 27001 | 4104303 | 797223
dfmul | 160 | 0.059183658 | 239677418 | 253383434 | 147385160 | 961502 | 50985657 | 919741 | 32124 | 4457570 | 961502
dfmul | 170 | 0.060776049 | 247673403 | 269674565 | 151623992 | 903856 | 54327443 | 1046395 | 27332 | 4689894 | 903856
dfmul | 180 | 0.066713374 | 267336850 | 286481380 | 165711832 | 892555 | 57702322 | 1060517 | 28423 | 5015525 | 892555
dfmul | 190 | 0.070412127 | 280435119 | 298742862 | 175352528 | 1135977 | 60170349 | 1131433 | 44250 | 5204494 | 1135977
dfmul | 200 | 0.073035558 | 294344570 | 318117042 | 182455624 | 1045872 | 64069795 | 1164765 | 28286 | 5547883 | 1045872
dfmul | 210 | 0.073589224 | 301729263 | 327854796 | 184605096 | 1139011 | 66067749 | 1275525 | 31148 | 5814046 | 1139011
dfmul | 220 | 0.0801937 | 319821564 | 352267049 | 198721536 | 1243332 | 70921152 | 1328416 | 38191 | 6001542 | 1243332
dfmul | 230 | 0.084259378 | 339839119 | 364586119 | 210016664 | 1293561 | 73281412 | 1341545 | 37205 | 6421334 | 1293561
dfmul | 240 | 0.085185484 | 347191103 | 378715741 | 212680416 | 1271536 | 76156180 | 1406445 | 35980 | 6658721 | 1271536
dfmul | 250 | 0.09083659 | 366479595 | 394808503 | 226273008 | 1249863 | 79344579 | 1466979 | 38503 | 6937979 | 1249863
dfmul | 260 | 0.093608009 | 381164210 | 416213928 | 233991472 | 1337044 | 83716630 | 1590984 | 36811 | 7221492 | 1337044
dfmul | 270 | 0.102423349 | 416099968 | 428944305 | 256519328 | 1970939 | 86278071 | 1584572 | 83651 | 7640481 | 1970939
dfmul | 280 | 0.100502536 | 404517740 | 445110828 | 250534544 | 1391007 | 89542350 | 1662196 | 40234 | 7662477 | 1391007
dfmul | 290 | 0.10636429 | 428893020 | 458100277 | 264589520 | 1875121 | 92113528 | 1651017 | 71438 | 7942460 | 1875121
dfmul | 300 | 0.110998197 | 433240478 | 479091574 | 264140136 | 1491755 | 96374365 | 1728341 | 41899 | 8286480 | 1491755
dfmul | 310 | 0.122966681 | 488611873 | 494778014 | 306010744 | 2648812 | 99525756 | 1796747 | 128128 | 8568484 | 2648812
dfmul | 320 | 0.113075916 | 457239415 | 505532020 | 282757384 | 1581731 | 101732791 | 1895075 | 42993 | 8795863 | 1581731
dfmul | 330 | 0.125897112 | 504255590 | 527504652 | 315565120 | 2723909 | 106127281 | 1957848 | 116892 | 9256368 | 2723909
dfmul | 340 | 0.119839253 | 491120502 | 538580651 | 300836952 | 1650913 | 108351404 | 2098857 | 45275 | 9339551 | 1650913
dfmul | 350 | 0.125989957 | 509519623 | 546383803 | 315280784 | 1733183 | 110069445 | 2033664 | 45418 | 9714315 | 1733183
dfmul | 360 | 0.128542768 | 526729666 | 577085269 | 322074792 | 1765147 | 115962347 | 2134439 | 50260 | 9914079 | 1765147
dfmul | 370 | 0.139646908 | 560246001 | 578945401 | 349862448 | 2436899 | 116543882 | 2218599 | 93713 | 10238786 | 2436899
dfmul | 380 | 0.136679194 | 555042809 | 605700886 | 341004560 | 1938870 | 121885798 | 2316851 | 55324 | 10509962 | 1938870
dfmul | 390 | 0.139829532 | 567713106 | 612924388 | 350921272 | 1962956 | 123273792 | 2241476 | 50254 | 10844007 | 1962956
dfmul | 400 | 0.143887645 | 581527891 | 628594045 | 359435232 | 2007330 | 126390094 | 2244308 | 68571 | 10979063 | 2007330
dfmul | 410 | 0.148110484 | 593424196 | 655488087 | 370811168 | 1786863 | 131871721 | 2442568 | 51897 | 11261178 | 1786863
dfmul | 420 | 0.149150668 | 607097319 | 664138176 | 373716824 | 2051645 | 133534250 | 2464554 | 55626 | 11681502 | 2051645
dfmul | 430 | 0.153452722 | 617256911 | 680451956 | 384148960 | 1973576 | 136653282 | 2651263 | 57313 | 11887988 | 1973576
dfmul | 440 | 0.158760054 | 641515757 | 686842450 | 398526440 | 2166264 | 138218969 | 2561266 | 58667 | 12149384 | 2166264
dfmul | 450 | 0.162334125 | 654776701 | 710819680 | 406878472 | 2168052 | 142747223 | 2607052 | 57440 | 12494161 | 2168052
dfmul | 460 | 0.164240885 | 669656687 | 723474058 | 410754760 | 2459980 | 145456893 | 2671967 | 73105 | 12762133 | 2459980
dfmul | 470 | 0.167776196 | 683136874 | 738858893 | 422231888 | 2236003 | 148519629 | 2783725 | 59912 | 13134839 | 2236003
dfmul | 480 | 0.176235589 | 703271305 | 753219872 | 439795408 | 2431211 | 151479097 | 2760645 | 66320 | 13363856 | 2431211
dfmul | 490 | 0.176548483 | 713237148 | 781295148 | 441531064 | 2731383 | 157171965 | 2849980 | 85335 | 13630037 | 2731383
dfmul | 500 | 0.18149829 | 735825490 | 802549432 | 454454728 | 2445660 | 161267816 | 2958482 | 69190 | 13866242 | 2445660
dfsin | 10 | 0.00569016 | 20376769 | 22589612 | 13415688 | 118565 | 4321454 | 96258 | 5913 | 316238 | 118565
dfsin | 20 | 0.009792837 | 38451289 | 41973309 | 23209472 | 148893 | 8017383 | 165658 | 7244 | 597803 | 148893
dfsin | 30 | 0.01425985 | 55995940 | 62522333 | 35008688 | 201794 | 11938279 | 236096 | 7591 | 899893 | 201794
dfsin | 40 | 0.018175299 | 72120581 | 82164815 | 44585008 | 279847 | 15664480 | 304119 | 10756 | 1157273 | 279847
dfsin | 50 | 0.022116378 | 87728455 | 101206965 | 54243384 | 297252 | 19283313 | 362177 | 10398 | 1447285 | 297252
dfsin | 60 | 0.02760809 | 108543863 | 120308094 | 68246984 | 392584 | 22959456 | 435263 | 14292 | 1752237 | 392584
dfsin | 70 | 0.03078945 | 124935697 | 140258664 | 76067472 | 417575 | 26768931 | 501392 | 13894 | 2007731 | 417575
dfsin | 80 | 0.034754972 | 137823429 | 159919152 | 86019960 | 431980 | 30512961 | 566937 | 12090 | 2277057 | 431980
dfsin | 90 | 0.037973146 | 155056462 | 179625508 | 94613064 | 480742 | 34277642 | 673294 | 13719 | 2543861 | 480742
dfsin | 100 | 0.042597223 | 174961984 | 199455487 | 106292160 | 546634 | 38040958 | 718172 | 15976 | 2864109 | 546634
dfsin | 110 | 0.051351122 | 194860706 | 221288428 | 120066544 | 760646 | 42250174 | 778809 | 29288 | 3122312 | 760646
dfsin | 120 | 0.052180369 | 208398039 | 240139708 | 129806352 | 686831 | 45830389 | 876845 | 21560 | 3405689 | 686831
dfsin | 130 | 0.056934783 | 227140693 | 260133011 | 140831288 | 757746 | 49636492 | 939456 | 22044 | 3710831 | 757746
dfsin | 140 | 0.066680957 | 263317901 | 278741841 | 166515544 | 1116270 | 53135573 | 1000937 | 50150 | 4081150 | 1116270
dfsin | 150 | 0.066554048 | 267257996 | 299283418 | 165653488 | 897979 | 57091323 | 1051216 | 27605 | 4359875 | 897979
dfsin | 160 | 0.069982272 | 277965607 | 314853817 | 173879472 | 848916 | 60045696 | 1139406 | 27373 | 4537176 | 848916
dfsin | 170 | 0.080273004 | 316628177 | 337759429 | 200578248 | 1641656 | 64423657 | 1207810 | 80288 | 4939918 | 1641656
dfsin | 180 | 0.079640319 | 319071870 | 359550444 | 199733352 | 1032165 | 68584966 | 1250795 | 32227 | 5241272 | 1032165
dfsin | 190 | 0.084421113 | 331937423 | 376754949 | 210951312 | 1007601 | 71826940 | 1376699 | 30862 | 5412748 | 1007601
dfsin | 200 | 0.090675848 | 351707936 | 398891611 | 226220592 | 1229375 | 76046902 | 1386401 | 39813 | 5698604 | 1229375
dfsin | 210 | 0.09313019 | 367847248 | 417239689 | 233257128 | 1174230 | 79552431 | 1506521 | 34571 | 6015930 | 1174230
dfsin | 220 | 0.098356922 | 392502872 | 440239553 | 245747216 | 1248222 | 83883910 | 1516007 | 38653 | 6339663 | 1248222
dfsin | 230 | 0.101712049 | 402534729 | 454652388 | 254378904 | 1248336 | 86721321 | 1613144 | 35713 | 6595756 | 1248336
dfsin | 240 | 0.105214447 | 423231838 | 478549574 | 263263000 | 1278779 | 91274213 | 1627648 | 33998 | 6953815 | 1278779
dfsin | 250 | 0.113080659 | 450011675 | 499105893 | 283243584 | 1418817 | 95059322 | 1723357 | 47173 | 7314859 | 1418817
dfsin | 260 | 0.110754597 | 448479499 | 515901025 | 275364440 | 1299771 | 98255859 | 1782248 | 37731 | 7290004 | 1299771
dfsin | 270 | 0.127454752 | 493512931 | 543213551 | 319206888 | 1908030 | 103520135 | 1908064 | 80534 | 7827867 | 1908030
dfsin | 280 | 0.12255114 | 491811998 | 557754133 | 306635680 | 1461236 | 106256235 | 1901886 | 43829 | 8027926 | 1461236
dfsin | 290 | 0.131379157 | 513194410 | 581267608 | 328295448 | 1959743 | 110694261 | 1971268 | 76043 | 8278138 | 1959743
dfsin | 300 | 0.131391374 | 519806232 | 597220124 | 329202328 | 1487338 | 113898840 | 2088686 | 42673 | 8493279 | 1487338
dfsin | 310 | 0.136234842 | 540056723 | 617996758 | 342332016 | 1649076 | 117683498 | 2052912 | 48275 | 8844368 | 1649076
dfsin | 320 | 0.142735617 | 557570280 | 638678868 | 356924568 | 1672208 | 121830858 | 2252905 | 47611 | 9177707 | 1672208
dfsin | 330 | 0.146654005 | 574385498 | 658693667 | 366525016 | 1651128 | 125533078 | 2278372 | 46712 | 9468231 | 1651128
dfsin | 340 | 0.151615945 | 587863521 | 681438079 | 377849264 | 1619981 | 129894001 | 2401237 | 51905 | 9721945 | 1619981
dfsin | 350 | 0.15626335 | 614223799 | 697208602 | 390407056 | 1827295 | 132936793 | 2425816 | 52609 | 9961769 | 1827295
dfsin | 360 | 0.172948372 | 663530400 | 707172106 | 432038880 | 2922568 | 134663368 | 2414365 | 138877 | 10397316 | 2922568
dfsin | 370 | 0.168311049 | 658889053 | 734016790 | 421008848 | 2288287 | 139930441 | 2693010 | 95261 | 10708870 | 2288287
dfsin | 380 | 0.169134974 | 666125790 | 756873254 | 423374016 | 2040337 | 144287987 | 2652209 | 65881 | 10867595 | 2040337
dfsin | 390 | 0.168347233 | 673431477 | 773259375 | 421127512 | 2015208 | 147404420 | 2681640 | 56097 | 11147131 | 2015208
dfsin | 400 | 0.207618318 | 809688193 | 793945684 | 515835424 | 4980223 | 151501367 | 3061729 | 329835 | 11826035 | 4980223
dfsin | 410 | 0.210786063 | 817556781 | 816049332 | 526980688 | 4995049 | 155707627 | 3014401 | 322581 | 12010344 | 4995049
dfsin | 420 | 0.201648719 | 793602614 | 833165792 | 495479400 | 4197499 | 158872078 | 3104866 | 223633 | 12166077 | 4197499
dfsin | 430 | 0.219546595 | 819526363 | 853717857 | 548795832 | 4303992 | 162812269 | 2970189 | 241056 | 12567972 | 4303992
dfsin | 440 | 0.228912622 | 824478360 | 872188099 | 539049472 | 4327077 | 166272589 | 3048660 | 238032 | 12666210 | 4327077
dfsin | 450 | 0.207659116 | 810019483 | 894109702 | 514088848 | 3468311 | 170448093 | 3175644 | 143492 | 12973514 | 3468311
dfsin | 460 | 0.213875947 | 824760140 | 903106013 | 526099184 | 2732190 | 172025584 | 3182994 | 99953 | 13170037 | 2732190
dfsin | 470 | 0.209622948 | 825742409 | 930342391 | 524166344 | 2927019 | 177327099 | 3179802 | 95736 | 13398684 | 2927019
dfsin | 480 | 0.2311857 | 902356070 | 945613136 | 577956392 | 4412867 | 180202270 | 3215380 | 236654 | 14029237 | 4412867
dfsin | 490 | 0.224896003 | 870733270 | 969610073 | 560747824 | 3048835 | 184712995 | 3532869 | 114896 | 14204341 | 3048835
dfsin | 500 | 0.223937356 | 880452862 | 995363372 | 560121328 | 2883750 | 189649874 | 3460955 | 102643 | 14231411 | 2883750
gsm | 10 | 0.005214789 | 16623976 | 16960569 | 11552840 | 96406 | 3259288 | 99925 | 5538 | 284015 | 96406
gsm | 20 | 0.007879068 | 29985023 | 31754086 | 17611256 | 151088 | 6100231 | 146317 | 7681 | 563763 | 151088
gsm | 30 | 0.010915004 | 43517911 | 46064891 | 25598456 | 168399 | 8805758 | 217351 | 6934 | 809067 | 168399
gsm | 40 | 0.014664876 | 57989906 | 59872920 | 34331440 | 320494 | 11480555 | 274613 | 13354 | 1089091 | 320494
gsm | 50 | 0.020097385 | 75889872 | 74429000 | 47048456 | 404970 | 14253587 | 309208 | 21441 | 1331153 | 404970
gsm | 60 | 0.020666686 | 82560527 | 89582836 | 49526568 | 289320 | 17142436 | 349114 | 9162 | 1596641 | 289320
gsm | 70 | 0.024517287 | 98069936 | 103569184 | 58630104 | 436626 | 19792421 | 437841 | 16757 | 1877614 | 436626
gsm | 80 | 0.028028506 | 110209540 | 118340872 | 67447016 | 393600 | 22686803 | 494251 | 11897 | 2089564 | 393600
gsm | 90 | 0.030640239 | 125060806 | 133633979 | 75300680 | 469462 | 25620862 | 549232 | 13574 | 2397023 | 469462
gsm | 100 | 0.033715238 | 137312023 | 144511040 | 82311320 | 609437 | 27690223 | 584179 | 21197 | 2614903 | 609437
gsm | 110 | 0.038036266 | 151102576 | 160575967 | 91715832 | 660078 | 30744063 | 698716 | 22621 | 2932272 | 660078
gsm | 120 | 0.041978442 | 167813330 | 175564708 | 101391056 | 717293 | 33624699 | 717897 | 28158 | 3194852 | 717293
gsm | 130 | 0.043792279 | 177295747 | 188142608 | 107978936 | 823812 | 36036560 | 769222 | 27389 | 3508085 | 823812
gsm | 140 | 0.046509771 | 190689721 | 202071485 | 115104392 | 780474 | 38652169 | 822331 | 25419 | 3767737 | 780474
gsm | 150 | 0.050991691 | 203892908 | 219627434 | 122635968 | 931217 | 42066477 | 890777 | 31983 | 3939938 | 931217
gsm | 160 | 0.055376136 | 227906276 | 236659528 | 137484672 | 1305553 | 45227721 | 930298 | 58696 | 4294164 | 1305553
gsm | 170 | 0.057980185 | 234548396 | 246308204 | 143613288 | 1019815 | 47198327 | 974622 | 37071 | 4506731 | 1019815
gsm | 180 | 0.061848475 | 247604939 | 264791784 | 149829368 | 1120941 | 50719274 | 1026990 | 38035 | 4709164 | 1120941
gsm | 190 | 0.072551984 | 286741614 | 278102687 | 177480160 | 1667932 | 53268516 | 1054494 | 84890 | 5187487 | 1667932
gsm | 200 | 0.067442932 | 275837124 | 290524222 | 167574368 | 1211210 | 55588896 | 1145487 | 38515 | 5368018 | 1211210
gsm | 210 | 0.071202959 | 289038371 | 306980157 | 173455984 | 1193173 | 58734749 | 1255286 | 41343 | 5578758 | 1193173
gsm | 220 | 0.076049675 | 311817333 | 318260210 | 189570680 | 1957874 | 60972997 | 1255463 | 94632 | 5878077 | 1957874
gsm | 230 | 0.077942125 | 313075574 | 334201141 | 192262824 | 1268180 | 63962100 | 1252301 | 44654 | 6068253 | 1268180
gsm | 240 | 0.081131029 | 325078236 | 347815489 | 199457440 | 1356003 | 66647606 | 1419205 | 46906 | 6379575 | 1356003
gsm | 250 | 0.085147813 | 344867922 | 360558195 | 208566280 | 1593995 | 68978300 | 1352623 | 60106 | 6583723 | 1593995
gsm | 260 | 0.240488117 | 403321625 | 378801004 | 589807088 | 2717046 | 72595997 | 1520131 | 152751 | 6968720 | 2717046
gsm | 270 | 0.090418054 | 368188548 | 395922585 | 222503424 | 1576516 | 75877177 | 1517647 | 50855 | 7208785 | 1576516
gsm | 280 | 0.095592887 | 389693302 | 405924364 | 234487032 | 1768350 | 77814990 | 1612508 | 65576 | 7436411 | 1768350
gsm | 290 | 0.093192085 | 383938365 | 420392083 | 230062768 | 1562774 | 80464791 | 1621775 | 46497 | 7667390 | 1562774
gsm | 300 | 0.099633148 | 406255333 | 437708310 | 247793520 | 1770899 | 83743242 | 1775193 | 63332 | 7982580 | 1770899
gsm | 310 | 0.112961632 | 456419618 | 446772487 | 278790408 | 2764072 | 85478452 | 1676992 | 141911 | 8321476 | 2764072
gsm | 320 | 0.105574222 | 434620327 | 455554911 | 260700752 | 1776212 | 87199549 | 1748716 | 58582 | 8545103 | 1776212
gsm | 330 | 0.109415387 | 449526799 | 473843205 | 269529312 | 2077311 | 90483831 | 1831444 | 75959 | 8768698 | 2077311
gsm | 340 | 0.112652276 | 462068195 | 494870219 | 277174144 | 1911625 | 94835008 | 1912683 | 63273 | 9028506 | 1911625
gsm | 350 | 0.118473415 | 483984545 | 501672804 | 292362512 | 2214045 | 95995865 | 1942990 | 81449 | 9330079 | 2214045
gsm | 360 | 0.121203935 | 493514946 | 519012717 | 302024528 | 2001815 | 99285691 | 2044619 | 67606 | 9732784 | 2001815
gsm | 370 | 0.12562666 | 509611793 | 543017943 | 309098712 | 2105848 | 103921375 | 1986661 | 80659 | 9891434 | 2105848
gsm | 380 | 0.127366769 | 522247215 | 540152125 | 315560024 | 2213540 | 103392714 | 2174101 | 79361 | 10230314 | 2213540
gsm | 390 | 0.141594236 | 569781278 | 562966128 | 348369944 | 3029472 | 107673261 | 2105754 | 149202 | 10414148 | 3029472
gsm | 400 | 0.134663373 | 544500274 | 586952003 | 333746712 | 2027851 | 112287446 | 2341818 | 70735 | 10691024 | 2027851
gsm | 410 | 0.141524021 | 576417540 | 599645217 | 349225864 | 2684531 | 114850376 | 2317436 | 107825 | 10985367 | 2684531
gsm | 420 | 0.138271228 | 566606317 | 607552151 | 343394480 | 2382615 | 116150605 | 2319260 | 83571 | 11184911 | 2382615
gsm | 430 | 0.141033493 | 578306675 | 619512907 | 346685560 | 2275590 | 118664025 | 2403671 | 73929 | 11444722 | 2275590
gsm | 440 | 0.158098507 | 638373158 | 654528240 | 390170976 | 3896824 | 125273900 | 2456685 | 192814 | 11661696 | 3896824
gsm | 450 | 0.151687499 | 621506746 | 649183335 | 372806824 | 2594806 | 124004693 | 2637941 | 91640 | 11939840 | 2594806
gsm | 460 | 0.152972588 | 626361738 | 658567118 | 376757888 | 2635859 | 125958086 | 2563146 | 89986 | 12152105 | 2635859
gsm | 470 | 0.158724432 | 646761118 | 675134293 | 393269032 | 2595095 | 129211905 | 2556608 | 82544 | 12540079 | 2595095
gsm | 480 | 0.16363211 | 663634342 | 699669645 | 400858016 | 2590098 | 134099742 | 2704238 | 94255 | 12892544 | 2590098
gsm | 490 | 0.159428706 | 653127417 | 719542376 | 392169024 | 2646211 | 137918779 | 2788032 | 84870 | 12858842 | 2646211
gsm | 500 | 0.163849602 | 678863488 | 738459339 | 407468776 | 2724407 | 141401363 | 2782152 | 86616 | 13384408 | 2724407
jpeg | 10 | 0.011049544 | 42709166 | 64865136 | 26641992 | 119253 | 8355729 | 305538 | 5630 | 348464 | 119253
jpeg | 20 | 0.021885319 | 87835544 | 127008529 | 53728480 | 374501 | 16177304 | 578982 | 23030 | 684392 | 374501
jpeg | 30 | 0.032438567 | 128058889 | 189228569 | 79602120 | 434441 | 24012655 | 877869 | 23471 | 985921 | 434441
jpeg | 40 | 0.042048466 | 166910121 | 251565307 | 102633752 | 439086 | 31861996 | 1142384 | 22233 | 1278632 | 439086
jpeg | 50 | 0.053497682 | 212718669 | 313731197 | 129735528 | 597256 | 39707523 | 1417114 | 31598 | 1631056 | 597256
jpeg | 60 | 0.06182538 | 248363793 | 375976937 | 150329504 | 715802 | 47539593 | 1681757 | 35951 | 1899643 | 715802
jpeg | 70 | 0.080581538 | 319090561 | 438816364 | 197584400 | 1352450 | 55482778 | 2079264 | 98288 | 2253976 | 1352450
